Experiment_ID	Model_Name	Start_Date_Time	Experiment_Duration(mins)	Num_Replications_Completed
1	Model-2.mox		0,000263888888889952	1
2	Model-2.mox		0,000268518518518945	1
3	Model-2.mox		0,000384259259258002	1
4	Model-2.mox		0,000481481481482859	1
5	Model-2.mox		0,000263888888889952	1
6	Model-2.mox		0,000268518518518945	1
7	Model-2.mox		0,000300925925927231	1
8	Model-2.mox		0,000310185185185219	1
9	Model-2.mox		0,000541666666668661	1
10	Model-2.mox		0,000902777777776365	1
11	Model-2.mox		0,00127314814814738	1
12	Model-2.mox		0,00144907407407402	1
13	Model-2.mox		0,00153703703703911	1
