Experiment_ID	Model_Name	Start_Date_Time	Experiment_Duration(mins)	Num_Replications_Completed
1	Model-3.mox		5,09259259260375e-05	1
2	Model-3.mox		5,09259259260375e-05	1
3	Model-3.mox		5,55555555514786e-05	1
4	Model-3.mox		0,000101851851852075	1
5	Model-3.mox		9,72222222230812e-05	1
6	Model-3.mox		5,55555555550313e-05	1
7	Model-3.mox		0,000101851851852075	1
8	Model-3.mox		5,09259259295902e-05	1
9	Model-3.mox		0,000106481481481069	1
10	Model-3.mox		5,55555555550313e-05	1
11	Model-3.mox		0,000106481481481069	1
12	Model-3.mox		0,00012037037036805	1
13	Model-3.mox		0,000106481481481069	1
14	Model-3.mox		0,000101851851852075	1
15	Model-3.mox		0,000106481481484622	1
16	Model-3.mox		0,000166666666661541	1
17	Model-3.mox		0,000152777777778113	1
18	Model-3.mox		0,000212962962962138	1
19	Model-3.mox		0,000208333333329591	1
20	Model-3.mox		0,000212962962958585	1
21	Model-3.mox		0,000212962962962138	1
22	Model-3.mox		0,000212962962962138	1
23	Model-3.mox		0,00021296296296569	1
24	Model-3.mox		0,000208333333333144	1
25	Model-3.mox		0,000166666666665094	1
26	Model-3.mox		0,00011111111110651	1
27	Model-3.mox		0,000106481481477516	1
